index,Consumption,Solar,Wind
2020-01-01T13:00:00.0,26.51468889,0,40.59
2020-01-01T14:00:00.0,28.32696,0,67.86
2020-01-01T15:00:00.0,23.68220667,0,116.68
2020-01-01T16:00:00.0,25.35478222,0,120.22
2020-01-01T17:00:00.0,23.86194222,0,109.86
2020-01-01T18:00:00.0,36.87287778,0,71.79
2020-01-01T19:00:00.0,56.87612,0,55.29
2020-01-01T20:00:00.0,23.77333556,0,14.8
2020-01-01T21:00:00.0,20.89379333,0,5.78
2020-01-01T22:00:00.0,19.51656889,0,9.8
2020-01-01T23:00:00.0,19.83178222,0,0
2020-01-02T00:00:00.0,13.06596,0,24.45
2020-01-02T01:00:00.0,13.91483,0,57.05
2020-01-02T02:00:00.0,14.09472444,0,68.15
2020-01-02T03:00:00.0,14.12158111,0,69.37
2020-01-02T04:00:00.0,13.45286222,0,42.16
2020-01-02T05:00:00.0,12.23060667,0,0.64
2020-01-02T06:00:00.0,13.14819,0,0
2020-01-02T07:00:00.0,22.48820444,0,0
2020-01-02T08:00:00.0,18.85918889,0,0
2020-01-02T09:00:00.0,20.74766667,0,0
2020-01-02T10:00:00.0,20.33082222,0,0
2020-01-02T11:00:00.0,14.92799,0,0
2020-01-02T12:00:00.0,20.86298,0,1.69
2020-01-02T13:00:00.0,17.38338111,0,7.92
2020-01-02T14:00:00.0,22.34846667,0,7.5
2020-01-02T15:00:00.0,22.97504444,0,17.45
2020-01-02T16:00:00.0,18.67262889,0,40.8
2020-01-02T17:00:00.0,14.09666,0,33.31
2020-01-02T18:00:00.0,21.34411556,0,26.5
2020-01-02T19:00:00.0,50.75179111,0,23.67
2020-01-02T20:00:00.0,24.26989556,0,16.81
2020-01-02T21:00:00.0,18.65073778,0,18.66
2020-01-02T22:00:00.0,18.94588889,0,23.45
2020-01-02T23:00:00.0,17.45741444,0,3.98
2020-01-03T00:00:00.0,15.36674222,0,0
2020-01-03T01:00:00.0,16.19501111,0,0
2020-01-03T02:00:00.0,17.33339111,0,4.28
2020-01-03T03:00:00.0,16.20722667,0,4.1
2020-01-03T04:00:00.0,14.95034222,0,12.94
2020-01-03T05:00:00.0,16.15511889,0,2.64
2020-01-03T06:00:00.0,18.00457667,0,0
2020-01-03T07:00:00.0,22.00952,0,20.16
2020-01-03T08:00:00.0,19.90231556,0,3.38
2020-01-03T09:00:00.0,25.00656222,0,0
2020-01-03T10:00:00.0,26.19718222,0,0
2020-01-03T11:00:00.0,22.54926444,0,8.21
2020-01-03T12:00:00.0,22.55734222,0,0
2020-01-03T13:00:00.0,25.6522,0,23.25
2020-01-03T14:00:00.0,26.00156,0,93.54
2020-01-03T15:00:00.0,24.70379778,0,116.21
2020-01-03T16:00:00.0,18.36871556,0,130.48
2020-01-03T17:00:00.0,13.66948889,0,77.88
2020-01-03T18:00:00.0,47.11497778,0,98.22
2020-01-03T19:00:00.0,25.63110667,0,89.62
2020-01-03T20:00:00.0,23.43241778,0,34.97
2020-01-03T21:00:00.0,22.74549333,0,31.56
